               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11662,            0.058958,            0.036161,           0.0049762,            0.019376,           0.0015566,          0.00029742,            0.098083,            0.044241,             0.03105,             0.00032,             0.00032,             0.09712
                   1,             0.10154,            0.066942,            0.027784,             0.03794,            0.070696,            0.019285,           0.0035078,            0.079706,            0.047056,            0.025043,           0.0006484,           0.0006484,            0.094148
                   2,            0.087327,            0.071968,            0.023187,             0.82285,              0.1223,             0.11783,            0.029043,            0.064735,            0.042241,             0.02368,          0.00097036,          0.00097036,             0.09117
                   3,            0.074084,            0.056229,            0.020047,             0.83758,             0.17073,             0.18916,            0.060086,            0.056573,            0.034213,            0.022304,           0.0012811,           0.0012811,            0.088181
                   4,            0.064625,            0.050244,            0.018536,             0.84665,             0.22901,             0.20524,             0.05798,            0.052932,            0.030012,            0.021612,           0.0015762,           0.0015762,            0.085176
                   5,            0.072122,            0.045415,            0.018751,             0.81207,             0.21068,             0.18442,            0.055093,            0.056823,            0.027878,            0.020685,           0.0018512,           0.0018512,            0.082151
                   6,            0.067303,            0.045391,            0.018926,             0.89812,             0.26341,             0.28954,             0.12645,            0.042294,            0.027775,            0.020573,           0.0021023,           0.0021023,            0.079102
                   7,            0.063237,            0.043079,            0.017877,             0.83565,             0.22764,             0.24324,            0.081312,            0.048194,            0.025924,            0.019718,            0.002326,            0.002326,            0.076026
                   8,            0.059418,            0.042145,             0.01765,               0.681,             0.39349,             0.38227,             0.17083,            0.038092,            0.025759,            0.018553,           0.0025193,           0.0025193,            0.072919
                   9,            0.059928,            0.042048,            0.016127,             0.62192,             0.41603,             0.36735,             0.12819,            0.042994,            0.024347,              0.0175,           0.0026797,           0.0026797,             0.06978
                  10,            0.057022,            0.043086,            0.015546,             0.70704,             0.49218,             0.47864,             0.19745,             0.03609,            0.023628,            0.014935,           0.0028055,           0.0028055,            0.066606
                  11,            0.053591,            0.043186,            0.013541,             0.68858,             0.51002,             0.50272,             0.23965,            0.037653,            0.023061,            0.014266,           0.0028955,           0.0028955,            0.063395
                  12,             0.05167,            0.040273,            0.012065,             0.86855,             0.52362,             0.57942,             0.29034,            0.034086,            0.022361,             0.01192,           0.0029492,           0.0029492,            0.060149
                  13,             0.05124,            0.041135,            0.011284,             0.76198,              0.5412,             0.54415,             0.26306,            0.036533,            0.022774,            0.011315,           0.0029668,           0.0029668,            0.056867
                  14,            0.047659,            0.040343,            0.010149,             0.85744,             0.55402,             0.57729,             0.30098,            0.033184,            0.021919,            0.011381,           0.0029494,           0.0029494,            0.053549
                  15,            0.054363,            0.039321,            0.009933,              0.8738,             0.49482,             0.57531,             0.27238,            0.033645,            0.021961,            0.010928,           0.0028985,           0.0028985,            0.050199
                  16,            0.050224,            0.038137,           0.0095343,             0.84546,              0.5046,             0.57539,             0.28271,            0.033523,            0.022238,            0.010247,           0.0028166,           0.0028166,            0.046817
                  17,            0.046213,            0.037527,           0.0086656,             0.81701,             0.54222,             0.54073,             0.26544,             0.03043,            0.021259,            0.010167,           0.0027067,           0.0027067,            0.043407
                  18,            0.048867,            0.039036,           0.0090186,             0.91736,             0.53858,             0.60659,             0.33817,            0.030182,            0.021101,           0.0095829,           0.0025725,           0.0025725,            0.039972
                  19,            0.044186,            0.036925,           0.0082664,             0.92303,             0.55141,             0.61134,             0.35291,            0.028141,            0.020806,           0.0097403,           0.0024183,           0.0024183,            0.036518
                  20,            0.040046,            0.038704,           0.0076077,             0.92786,             0.56911,             0.61948,              0.3611,            0.027556,            0.020924,           0.0093739,            0.002249,            0.002249,            0.033049
                  21,            0.040237,            0.037401,           0.0082081,             0.95025,             0.55954,              0.6292,             0.37777,            0.027509,            0.020095,           0.0088106,           0.0020699,           0.0020699,             0.02957
                  22,            0.040455,            0.037134,           0.0081307,             0.92602,             0.54555,             0.61027,             0.35294,            0.027929,            0.020848,           0.0092478,           0.0018866,           0.0018866,            0.026087
                  23,            0.037169,            0.033259,           0.0075121,             0.94558,              0.5566,             0.62509,             0.37967,            0.025414,            0.020345,           0.0092615,           0.0017053,           0.0017053,            0.022605
                  24,            0.035081,            0.036871,            0.007211,             0.94782,             0.56688,              0.6394,              0.3989,            0.024846,            0.019913,           0.0082401,           0.0015322,           0.0015322,            0.019132
                  25,            0.035277,            0.033422,           0.0072124,             0.94944,             0.55619,             0.63454,             0.38444,            0.025893,             0.01987,           0.0083737,           0.0013737,           0.0013737,            0.015674
                  26,            0.034003,            0.035261,           0.0071491,             0.93454,             0.57439,             0.64004,             0.39142,            0.026347,            0.019874,           0.0082643,           0.0012363,           0.0012363,            0.012236
                  27,            0.033051,             0.03485,           0.0078188,             0.92761,             0.58045,             0.64126,             0.38782,            0.025266,            0.019761,           0.0082667,           0.0011263,           0.0011263,           0.0088263
                  28,            0.031831,              0.0342,           0.0062093,             0.95234,             0.56447,             0.64109,             0.41185,            0.023948,             0.01937,           0.0082292,             0.00105,             0.00105,             0.00545
                  29,            0.033276,            0.040418,           0.0065807,             0.94579,             0.57506,             0.64363,             0.41367,            0.023998,            0.019355,           0.0080381,           0.0010134,           0.0010134,           0.0021134
